YEAR,TEAM NAME,TEAM_ID,TEAM_CODE,YELLOW CARD,RED CARD,TOTAL CARD,,,
2006,Ghana,T-30,GHA,17,1,18,,,
2006,iran,T-36,IRN,8,0,8,,,
2006,Italy,T-40,ITA,11,2,13,,,
2006,Ivory Coast,T-41,CIV,8,1,9,,,
2006,Japan,T-43,JPN,7,0,7,,,
2006,Mexico,T-45,MEX,11,1,12,,,
2006,Netherlands,T-47,NLD,14,2,16,,,
2006,Paraguay,T-54,PRY,8,0,8,,,
2006,Poland,T-56,POL,9,1,10,,,
2006,Portugal,T-57,PRT,22,2,24,,,
2006,Saudi Arabia,T-62,SAU,5,0,5,,,
2006,Serbia & Montenegro,T-66,SCG,11,2,13,,,
2006,South Korea,T-70,KOR,9,0,9,,,
2006,Spain,T-72,ESP,6,0,6,,,
2006,Sweden,T-73,SWE,9,1,10,,,
2006,Switzerland,T-74,CHE,12,0,12,,,
2006,Togo,T-75,TGO,9,1,10,,,
2006,Trinidad & Tobago,T-76,TTO,9,1,10,,,
2006,Tunisia,T-77,TUN,13,1,14,,,
2006,Ukraine,T-79,UKR,12,1,13,,,
2006,United States,T-81,USA,4,2,6,,,
2010,Algeria,T-1,DZA,6,2,8,,,
2010,Argentina,T-3,ARG,7,0,7,,,
2010,Australia,T-4,AUS,7,2,9,,,
2010,Brazil,T-9,BRA,8,2,10,,,
2010,Cameroon,T-11,CMR,5,0,5,,,
2010,Chile,T-13,CHL,14,1,15,,,
2010,Denmark,T-21,DNK,6,0,6,,,
2010,England,T-27,ENG,6,0,6,,,
2010,France,T-28,FRA,6,1,7,,,
2010,Germany,T-29,DEU,12,1,13,,,
2010,Ghana,T-30,GHA,11,0,11,,,
2010,Greece,T-31,GRC,5,0,5,,,
2010,Honduras,T-33,HND,7,0,7,,,
2010,Italy,T-40,ITA,5,0,5,,,
2010,Ivory Coast,T-41,CIV,5,0,5,,,
2010,Japan,T-43,JPN,7,0,7,,,
2010,Mexico,T-45,MEX,9,0,9,,,
2010,Netherlands,T-47,NLD,23,1,24,,,
2010,New Zealand,T-48,NZL,6,0,6,,,
2010,Nigeria,T-49,NGA,5,1,6,,,
2010,North Korea,T-50,PRK,2,0,2,,,
2010,Paraguay,T-54,PRY,9,0,9,,,
2010,Portugal,T-57,PRT,8,1,9,,,
2010,Serbia,T-65,SRB,9,1,10,,,
2010,Slovakia,T-67,SVK,12,0,12,,,
2010,Slovenia,T-68,SVN,9,0,9,,,
2010,South Africa,T-69,ZAF,4,1,5,,,
2010,South Korea,T-70,KOR,6,0,6,,,
2010,Spain,T-72,ESP,8,0,8,,,
2010,Switzerland,T-74,CHE,8,1,9,,,
2010,United States,T-81,USA,9,0,9,,,
2010,Uruguay,T-82,URY,10,2,12,,,
2014,Algeria,T-1,DZA,6,0,6,,,
2014,Argentina,T-3,ARG,8,0,8,,,
2014,Australia,T-4,AUS,6,0,6,,,
2014,Belgium,T-6,BEL,7,1,8,,,
2014,Bosnia & Herzegovina,T-8,BIH,3,0,3,,,
2014,Brazil,T-9,BRA,14,0,14,,,
2014,Cameroon,T-11,CMR,4,1,5,,,
2014,chile,T-13,CHL,7,0,7,,,
2014,Colombia,T-15,COL,5,0,5,,,
2014,Costa Rica,T-16,CRI,11,1,12,,,
2014,Croatia,T-17,HRV,4,1,5,,,
2014,Ecuador,T-24,ECU,5,1,6,,,
2014,England,T-27,ENG,4,0,4,,,
2014,France,T-28,FRA,5,0,5,,,
2014,Germany,T-29,DEU,6,0,6,,,
2014,Ghana,T-30,GHA,6,0,6,,,
2014,Greece,T-31,GRC,7,1,8,,,
2014,Honduras,T-33,HND,6,1,7,,,
2014,iran,T-36,IRN,4,0,4,,,
2014,Italy,T-40,ITA,3,1,4,,,
2014,Ivory Coast,T-41,CIV,7,0,7,,,
2014,Japan,T-43,JPN,4,0,4,,,
2014,Mexico,T-45,MEX,8,0,8,,,
2014,Netherlands,T-47,NLD,11,0,11,,,
2014,Nigeria,T-49,NGA,3,0,3,,,
2014,Portugal,T-57,PRT,2,1,3,,,
2014,Russia,T-61,RUS,4,0,4,,,
2014,South Korea,T-70,KOR,6,0,6,,,
2014,Spain,T-72,ESP,3,0,3,,,
2014,Switzerland,T-74,CHE,3,0,3,,,
2014,United States,T-81,USA,4,0,4,,,
2014,Uruguay,T-82,URY,8,1,9,,,
2018,Argentina,T-3,ARG,11,0,11,,,
2018,Australia,T-4,AUS,7,0,7,,,
2018,Belgium,T-6,BEL,11,0,11,,,
2018,Brazil,T-9,BRA,7,0,7,,,
2018,Colombia,T-15,COL,9,1,10,,,
2018,Costa Rica,T-16,CRI,6,0,6,,,
2018,Croatia,T-17,HRV,15,0,15,,,
2018,Denmark,T-21,DNK,6,0,6,,,
2018,Egypt,T-25,EGY,5,0,5,,,
2018,England,T-27,ENG,8,0,8,,,
2018,France,T-28,FRA,12,0,12,,,
2018,Germany,T-29,DEU,3,1,4,,,
2018,Iceland,T-35,ISL,3,0,3,,,
2018,iran,T-36,IRN,7,0,7,,,
2018,Japan,T-43,JPN,5,0,5,,,
2018,Mexico,T-45,MEX,9,0,9,,,
2018,Morocco,T-46,MAR,8,0,8,,,
2018,Nigeria,T-49,NGA,4,0,4,,,
2018,Panama,T-53,PAN,11,0,11,,,
2018,Peru,T-55,PER,5,0,5,,,
2018,Poland,T-56,POL,3,0,3,,,
2018,Portugal,T-57,PRT,7,0,7,,,
2018,Russia,T-61,RUS,7,1,8,,,
2018,Saudi Arabia,T-62,SAU,1,0,1,,,
2018,Senegal,T-64,SEN,6,0,6,,,
2018,serbia,T-65,SRB,9,0,9,,,
2018,South Korea,T-70,KOR,10,0,10,,,
2018,Spain,T-72,ESP,2,0,2,,,
2018,Sweden,T-73,SWE,8,0,8,,,
2018,Switzerland,T-74,CHE,9,1,10,,,
2018,Tunisia,T-77,TUN,4,0,4,,,
2018,Uruguay,T-82,URY,3,0,3,,,
2022,Argentina,T-3,ARG,17,0,17,,,
2022,Australia,T-4,AUS,7,0,7,,,
2022,Belgium,T-6,BEL,5,0,5,,,
2022,Brazil,T-9,BRA,6,0,6,,,
2022,Cameroon,T-11,CMR,7,1,8,,,
2022,Canada,T-12,CAN,8,0,8,,,
2022,Costa Rica,T-16,CRI,6,0,6,,,
2022,Croatia,T-17,HRV,8,0,8,,,
2022,Denmark,T-21,DNK,5,0,5,,,
2022,Ecuador,T-24,ECU,3,0,3,,,
2022,England,T-27,ENG,1,0,1,,,
2022,France,T-28,FRA,8,0,8,,,
2022,Germany,T-29,DEU,3,0,3,,,
2022,Ghana,T-30,GHA,8,0,8,,,
2022,iran,T-36,IRN,7,0,7,,,
2022,Japan,T-43,JPN,6,0,6,,,
2022,Mexico,T-45,MEX,7,0,7,,,
2022,Morocco,T-46,MAR,8,1,9,,,
2022,Netherlands,T-47,NLD,11,1,12,,,
2022,Poland,T-56,POL,7,0,7,,,
2022,Portugal,T-57,PRT,6,0,6,,,
2022,Qatar,T-58,QAT,7,0,7,,,
2022,Saudi Arabia,T-62,SAU,14,0,14,,,
2022,Senegal,T-64,SEN,7,0,7,,,
2022,serbia,T-65,SRB,12,0,12,,,
2022,South Korea,T-70,KOR,6,0,6,,,
2022,Spain,T-72,ESP,2,0,2,,,
2022,Switzerland,T-74,CHE,9,0,9,,,
2022,Tunisia,T-77,TUN,5,0,5,,,
2022,United States,T-81,USA,5,0,5,,,
2022,Uruguay,T-82,URY,8,0,8,,,
2022,Wales,T-84,WAL,5,1,6,,,
